product_id,price,open_24h,volume_24h,low_24h,high_24h,best_bid,best_ask,time,ingested_at
BTC-USD,68592.67,69727.98,7965.62110564,67710.01,69997.76,68592.66,68592.67,2026-04-07 19:24:58.348686+00:00,2026-04-07T19:24:58.405789
SOL-USD,80.65,81.92,1495649.1082068,78.36,82.16,80.65,80.66,2026-04-07 19:24:58.539187+00:00,2026-04-07T19:24:58.591576
BTC-USD,68592.67,69727.98,7965.62119948,67710.01,69997.76,68592.66,68592.67,2026-04-07 19:24:58.555983+00:00,2026-04-07T19:24:58.614028
SOL-USD,80.66,81.92,1495650.15084378,78.36,82.16,80.65,80.66,2026-04-07 19:24:58.627057+00:00,2026-04-07T19:24:58.679588
BTC-USD,68592.66,69727.98,7965.62119952,67710.01,69997.76,68592.66,68592.67,2026-04-07 19:24:58.654162+00:00,2026-04-07T19:24:58.706177
BTC-USD,68592.67,69727.98,7965.62148825,67710.01,69997.76,68592.66,68592.67,2026-04-07 19:24:58.810194+00:00,2026-04-07T19:24:58.863493
BTC-USD,68592.67,69727.98,7965.62148829,67710.01,69997.76,68592.66,68592.67,2026-04-07 19:24:58.872270+00:00,2026-04-07T19:24:58.927137
BTC-USD,68592.67,69727.98,7965.62170484,67710.01,69997.76,68592.66,68592.67,2026-04-07 19:24:58.882357+00:00,2026-04-07T19:24:58.934521
SOL-USD,80.65,81.92,1495653.10489155,78.36,82.16,80.65,80.66,2026-04-07 19:24:58.887198+00:00,2026-04-07T19:24:58.939449
SOL-USD,80.65,81.92,1495656.05893932,78.36,82.16,80.65,80.66,2026-04-07 19:24:58.888324+00:00,2026-04-07T19:24:58.942631
SOL-USD,80.65,81.92,1495659.01298709,78.36,82.16,80.65,80.66,2026-04-07 19:24:58.889454+00:00,2026-04-07T19:24:58.946164
SOL-USD,80.65,81.92,1495660.15798361,78.36,82.16,80.64,80.66,2026-04-07 19:24:58.891910+00:00,2026-04-07T19:24:58.947700
SOL-USD,80.65,81.92,1495663.11203138,78.36,82.16,80.65,80.66,2026-04-07 19:24:58.895752+00:00,2026-04-07T19:24:58.951798
SOL-USD,80.65,81.92,1495666.06607915,78.36,82.16,80.65,80.66,2026-04-07 19:24:58.899112+00:00,2026-04-07T19:24:58.954408
SOL-USD,80.65,81.92,1495669.02012692,78.36,82.16,80.65,80.66,2026-04-07 19:24:58.899269+00:00,2026-04-07T19:24:58.964841
SOL-USD,80.65,81.92,1495671.97417469,78.36,82.16,80.65,80.66,2026-04-07 19:24:58.901809+00:00,2026-04-07T19:24:58.967478
SOL-USD,80.65,81.92,1495674.92822246,78.36,82.16,80.65,80.66,2026-04-07 19:24:58.902916+00:00,2026-04-07T19:24:58.970570
SOL-USD,80.65,81.92,1495677.84726675,78.36,82.16,80.64,80.66,2026-04-07 19:24:58.904562+00:00,2026-04-07T19:24:58.974404
BTC-USD,68592.67,69727.98,7965.62198145,67710.01,69997.76,68592.66,68592.67,2026-04-07 19:24:58.907919+00:00,2026-04-07T19:24:58.979377
BTC-USD,68592.66,69727.98,7965.62409329,67710.01,69997.76,68590.27,68592.67,2026-04-07 19:24:58.969024+00:00,2026-04-07T19:24:59.023654
BTC-USD,68590.27,69727.98,7965.62482248,67710.01,69997.76,68590.26,68592.67,2026-04-07 19:24:58.969024+00:00,2026-04-07T19:24:59.026239
BTC-USD,68590.26,69727.98,7965.63502765,67710.01,69997.76,68589.47,68592.67,2026-04-07 19:24:58.969024+00:00,2026-04-07T19:24:59.028608
BTC-USD,68589.47,69727.98,7965.63546533,67710.01,69997.76,68588.03,68592.67,2026-04-07 19:24:58.969024+00:00,2026-04-07T19:24:59.031667
BTC-USD,68588.03,69727.98,7965.69319985,67710.01,69997.76,68588.03,68592.67,2026-04-07 19:24:58.969024+00:00,2026-04-07T19:24:59.034399
BTC-USD,68588.03,69727.98,7965.70826533,67710.01,69997.76,68588.0,68592.67,2026-04-07 19:24:58.969076+00:00,2026-04-07T19:24:59.037739
BTC-USD,68588.02,69727.98,7965.70970854,67710.01,69997.76,68588.01,68588.02,2026-04-07 19:24:59.013695+00:00,2026-04-07T19:24:59.068523
BTC-USD,68588.01,69727.98,7965.70970858,67710.01,69997.76,68588.01,68588.02,2026-04-07 19:24:59.102802+00:00,2026-04-07T19:24:59.155174
BTC-USD,68588.02,69727.98,7965.70999733,67710.01,69997.76,68588.01,68588.02,2026-04-07 19:24:59.141108+00:00,2026-04-07T19:24:59.197954
BTC-USD,68588.02,69727.98,7965.70999743,67710.01,69997.76,68588.01,68588.02,2026-04-07 19:24:59.350528+00:00,2026-04-07T19:24:59.415616
BTC-USD,68588.02,69727.98,7965.71035171,67710.01,69997.76,68588.01,68588.02,2026-04-07 19:24:59.475074+00:00,2026-04-07T19:24:59.535695
BTC-USD,68588.02,69727.98,7965.71071252,67710.01,69997.76,68588.01,68588.02,2026-04-07 19:24:59.652442+00:00,2026-04-07T19:24:59.715572
BTC-USD,68588.01,69727.98,7965.71071258,67710.01,69997.76,68588.01,68588.02,2026-04-07 19:24:59.778141+00:00,2026-04-07T19:24:59.831769
BTC-USD,68588.02,69727.98,7965.71097812,67710.01,69997.76,68588.01,68588.03,2026-04-07 19:24:59.836906+00:00,2026-04-07T19:24:59.893191
BTC-USD,68588.03,69727.98,7965.71100635,67710.01,69997.76,68588.01,68588.03,2026-04-07 19:24:59.836906+00:00,2026-04-07T19:24:59.896396
BTC-USD,68588.03,69727.98,7965.71100636,67710.01,69997.76,68588.01,68590.42,2026-04-07 19:24:59.838653+00:00,2026-04-07T19:24:59.898402
BTC-USD,68592.67,69727.98,7965.71989145,67710.01,69997.76,68592.67,68592.68,2026-04-07 19:25:00.038829+00:00,2026-04-07T19:25:00.092787
BTC-USD,68592.67,69727.98,7965.72062064,67710.01,69997.76,68592.67,68592.68,2026-04-07 19:25:00.209905+00:00,2026-04-07T19:25:00.264287
BTC-USD,68592.67,69727.98,7965.79040985,67710.01,69997.76,68592.67,68592.68,2026-04-07 19:25:00.209905+00:00,2026-04-07T19:25:00.265767
BTC-USD,68592.67,69727.98,7965.81992825,67710.01,69997.76,68592.67,68592.68,2026-04-07 19:25:00.210961+00:00,2026-04-07T19:25:00.272108
SOL-USD,80.64,81.92,1495681.07253568,78.36,82.16,80.64,80.65,2026-04-07 19:25:00.251554+00:00,2026-04-07T19:25:00.310761
SOL-USD,80.64,81.92,1495684.29780461,78.36,82.16,80.64,80.65,2026-04-07 19:25:00.254596+00:00,2026-04-07T19:25:00.313215
SOL-USD,80.64,81.92,1495687.52307354,78.36,82.16,80.64,80.65,2026-04-07 19:25:00.256372+00:00,2026-04-07T19:25:00.314341
BTC-USD,68590.28,69727.98,7965.82007262,67710.01,69997.76,68590.27,68590.28,2026-04-07 19:25:00.341835+00:00,2026-04-07T19:25:00.396444
ETH-USD,2095.77,2144.29,192381.94455109,2059.82,2155.73,2095.76,2095.77,2026-04-07 19:25:00.398916+00:00,2026-04-07T19:25:00.450201
BTC-USD,68588.4,69727.98,7965.82007264,67710.01,69997.76,68588.4,68588.41,2026-04-07 19:25:00.470535+00:00,2026-04-07T19:25:00.525857
ETH-USD,2095.76,2144.29,192381.94555109,2059.82,2155.73,2095.76,2095.77,2026-04-07 19:25:00.836080+00:00,2026-04-07T19:25:00.887483
